SNO	Model Name	R2 Score	MAE	RMSE	MSE	Model Size
1	LinearRegression	0.6516	6.4679	2.5432	1.4391	0.0012
2	Ridge	0.6815	6.0258	2.4548	1.5226	0.001
3	Lasso	0.6744	6.3587	2.5217	1.7947	0.0011
4	DecisionTree	0.8064	5.8482	2.4183	1.0944	0.704
5	RandomForest	0.8927	3.0882	1.7573	0.7579	44.4561
6	GradientBoosting	0.9	2.6964	1.6421	0.8207	0.2582
7	KNN	0.6459	13.3936	3.6597	1.935	1.0794
8	XGBoost	0.9093	3.2371	1.7992	0.6793	0.784
9	LightGBM	0.9188	2.9718	1.7239	0.6705	0.5465
10	SelfSupervised QNN AutoEncoder	0.679345	0.093865	0.152116	0.023139	0.103
11	Residual QNN	0.0308	0.6642	1.0159	1.032	0.206
12	HQNN GRU+LSTM	-0.2323	0.7646	1.1436	1.3078	0.17
13						
14						
15						
16						
17						
18						
19						
